year,month,variable,value,isin
2013,6,logReturn,-0.0103942442327669,US1912161007
2013,5,logReturn,-0.0540274152665534,US1912161007
2013,4,logReturn,0.0454273108759884,US1912161007
2013,3,logReturn,0.0512117838958195,US1912161007
2013,2,logReturn,0.0309474588776248,US1912161007
2013,1,logReturn,-0.00962189994401931,US1912161007
2012,12,logReturn,-0.0306942548314553,US1912161007
2012,11,logReturn,0.0224471218785181,US1912161007
2012,10,logReturn,-0.0317628055133573,US1912161007
2012,9,logReturn,0.0240550798403277,US1912161007
2012,8,logReturn,-0.0797556176688488,US1912161007
2012,7,logReturn,0.0235418893517709,US1912161007
2012,6,logReturn,0.0742546133119472,US1912161007
2012,5,logReturn,-0.0290146789315109,US1912161007
2012,4,logReturn,0.0289792349754951,US1912161007
2012,3,logReturn,0.0686699526188687,US1912161007
2012,2,logReturn,0.0291918601807115,US1912161007
2012,1,logReturn,-0.0379217993264912,US1912161007
2011,12,logReturn,0.0459170805609863,US1912161007
2011,11,logReturn,0.00990397229583267,US1912161007
2011,10,logReturn,0.043374458474375,US1912161007
2011,9,logReturn,-0.0351077968922209,US1912161007
2011,8,logReturn,0.039373326659873,US1912161007
2011,7,logReturn,-0.00117569269182232,US1912161007
2011,6,logReturn,0.015098172236885,US1912161007
2011,5,logReturn,-0.0135301114610399,US1912161007
2011,4,logReturn,0.00356381297163729,US1912161007
2011,3,logReturn,0.0290155602729045,US1912161007
2011,2,logReturn,0.0137044819866726,US1912161007
2011,1,logReturn,-0.0370167631317809,US1912161007
2010,12,logReturn,0.0164009493127981,US1912161007
2010,11,logReturn,0.0303004693264849,US1912161007
2010,10,logReturn,0.0365384316055005,US1912161007
2010,9,logReturn,0.0284470000654746,US1912161007
2010,8,logReturn,-0.00939623916110489,US1912161007
2010,7,logReturn,0.0967087954824584,US1912161007
2010,6,logReturn,-0.0145933671445822,US1912161007
2010,5,logReturn,-0.044891181868411,US1912161007
2010,4,logReturn,-0.0340261744693518,US1912161007
2010,3,logReturn,0.040131308164043,US1912161007
2010,2,logReturn,-0.0310020528312813,US1912161007
2010,1,logReturn,-0.0501482894815477,US1912161007
2009,12,logReturn,-0.0187730619677947,US1912161007
2009,11,logReturn,0.0699141029946672,US1912161007
